"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"B2RQ13",25.90228462,25.52133179,26.03443718,25.94228172,25.06010818,25.61739731,24.56417274,26.34011078,25.91312408,26.15911674,25.84744835,25.72743988,26.01431465,26.02417755,26.01096725,25.69136429,26.12062263,26.03365898
"A0A0R4J008",28.33249092,28.43161392,28.69411659,28.42614365,28.64639854,28.78902054,28.52219391,28.53211403,28.50763702,28.54903603,28.59615898,28.53664017,28.4719677,28.54903603,28.6005249,28.2428627,28.41920853,28.32654572
"A0A0R4J018",25.6242466,25.09530449,25.93011475,25.103508,24.91622543,23.25844002,25.65179253,23.75630188,25.66440773,25.95140457,25.50830269,25.38551331,24.80624199,24.89031792,24.20009613,24.00816345,24.94068527,25.17104912
"A0A0R4J023",29.1791172,28.83833885,29.0675602,28.92905807,28.8485527,29.13178062,28.90893364,29.06375885,28.87011909,28.64574623,29.04069328,28.59807587,29.43696404,29.30652046,29.22094154,29.21245575,29.35762405,29.07913017
"A0A0R4J034",27.09526825,27.0896225,27.12080002,26.79946518,27.19769859,27.12533951,27.01009369,27.11316872,27.20247078,27.22618866,26.69272041,27.46443176,26.94514275,27.02136421,27.0287571,26.84026146,26.25798035,27.00345993
"Q3TV90",24.73626328,24.25775909,26.20931244,26.14685822,26.38980293,26.32635689,25.98087311,24.86849594,26.53307152,26.33090973,26.14441109,26.16737175,25.9251976,24.15819931,25.24094772,26.2386322,25.79637337,26.11217308
"A0A0R4J049",26.36481094,25.82203865,26.56736565,26.13214302,26.20289993,26.4527607,26.74765587,26.59662056,26.64430237,26.78319359,26.60780716,26.76281166,26.19274139,26.19403839,26.26325607,26.22199249,26.63020325,26.5352993
"Q9CRU8",25.81975174,24.48292732,25.65597343,25.60605812,24.05777168,25.83492088,25.54076195,25.49792671,25.68120956,25.14206505,24.03043556,25.73771286,25.76862907,25.80830574,25.66535759,25.85991478,25.91175461,25.78616333
"A0A0R4J078",26.90621185,27.07081223,27.36753082,27.17111969,27.49594688,27.14666557,26.9854393,27.29017639,27.32800293,27.03737259,26.81053925,27.33210564,27.03580093,27.0520649,27.25502777,26.81945992,26.85221863,26.85697556
"Q6P9T6",27.19149971,26.95958519,27.10948563,27.21678543,26.99269676,27.24680901,27.14870262,27.05465508,27.06445313,27.01137352,26.6848526,27.1662426,26.94859886,26.67962646,27.04374695,26.77856255,27.10359573,26.73698997
